ID;begin_ts;end_ts;estimated_dc_capacity;estimated_ac_capacity;tilt;azimuth;annual_yield;north;south;west;east;;;;
ID114;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2315;2900;33;264;846;52.08833333;52.08694444;5.086944444;5.089166667;;;;
ID115;2014-01-01 08:15:00+00:00;2016-04-27 05:51:00+00:00;1580;1690;38;120;951;52.1075;52.10611111;5.105;5.107222222;;;;
ID116;2014-01-01 00:00:00+00:00;2016-06-30 23:59:00+00:00;1284;1650;35;190;1048;52.20194444;52.20055556;5.386111111;5.388333333;;;;
ID117;2016-07-01 00:01:00+00:00;2017-08-30 19:06:00+00:00;2127;2500;35;190;1042;52.20194444;52.20055556;5.386111111;5.388333333;;;;
ID118;2014-01-01 00:00:00+00:00;2017-11-07 18:28:00+00:00;1415;1435;45;128;955;52.10555556;52.10416667;5.094166667;5.096388889;;;;
ID119;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2145;2780;38;130;959;52.19055556;52.18916667;5.395277778;5.3975;;;;
ID120;2014-01-01 00:00:00+00:00;2017-12-09 10:15:00+00:00;960;1145;52;162;1058;51.97277778;51.97138889;4.945277778;4.9475;;;;
ID121;2014-01-01 00:00:00+00:00;2017-06-30 18:27:00+00:00;1578;1600;45;241;921;52.15722222;52.15583333;5.376666667;5.378888889;;;;
ID122;2014-01-01 00:00:00+00:00;2017-10-18 19:19:00+00:00;546;510;36.4;187;1003;52.25944444;52.25805556;5.253333333;5.255555556;;;;
ID123;2014-01-01 00:00:00+00:00;2017-09-23 14:27:00+00:00;2609;3000;20;158;980;52.09277778;52.09138889;4.9525;4.954722222;;;;
ID124;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2345;2010;21;257;837;52.08833333;52.08555556;5.117777778;5.122222222;;;;
ID125;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2084;2150;45;218;985;52.1075;52.10611111;5.1025;5.104722222;;;;
ID126;2014-01-01 00:00:00+00:00;2017-11-04 12:19:00+00:00;2465;2530;20;175;990;52.11555556;52.11416667;5.293333333;5.295555556;;;;
ID127;2014-01-01 00:00:00+00:00;2017-10-14 14:55:00+00:00;2313;1600;53;86;732;52.03666667;52.03527778;5.155555556;5.157777778;;;;
ID128;2014-01-01 00:00:00+00:00;2017-11-19 16:38:00+00:00;3456;3300;15;190;1019;52.05111111;52.04972222;5.096666667;5.098888889;;;;
ID129;2014-01-01 00:00:00+00:00;2017-10-20 09:10:00+00:00;4529;3980;30;200;1043;52.15555556;52.15277778;5.174722222;5.179166667;;;;
ID130;2014-01-01 00:00:00+00:00;2016-05-18 02:14:00+00:00;1263;1520;40;185;1062;52.09888889;52.0975;5.120833333;5.123055556;;;;
ID131;2014-01-01 00:00:00+00:00;2017-09-27 06:54:00+00:00;507;490;31;160;1037;52.03722222;52.03583333;5.149722222;5.151944444;;;;
ID132;2014-01-01 00:00:00+00:00;2017-02-01 12:59:00+00:00;2363;3000;30;170;1026;51.99722222;51.99583333;5.305277778;5.3075;;;;
ID133;2014-01-05 12:53:00+00:00;2017-12-31 23:58:00+00:00;3216;3660;45;157;1013;52.04083333;52.03944444;5.17;5.172222222;;;;
ID134;2014-01-01 00:00:00+00:00;2017-07-17 13:13:00+00:00;1881;1980;45;128;886;52.08416667;52.08138889;5.23;5.234444444;;;;
ID135;2016-01-01 03:02:00+00:00;2017-12-31 23:58:00+00:00;3754;3340;13;245;928;52.10972222;52.10833333;5.038055556;5.040277778;;;;
ID136;2014-01-01 00:00:00+00:00;2017-08-04 10:09:00+00:00;2643;2980;40;265;843;52.14333333;52.14194444;5.006388889;5.008611111;;;;
ID137;2014-01-01 00:00:00+00:00;2017-11-24 15:51:00+00:00;3877;5000;35;220;1040;52.02027778;52.01888889;5.164722222;5.166944444;;;;
ID138;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2556;3240;25;195;1033;52.01527778;52.01388889;5.192222222;5.194444444;;;;
ID139;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;3398;3275;45;193;1088;;;;;;;;
ID140;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;3503;3600;45;282;744;52.08583333;52.08444444;5.028888889;5.031111111;;;;
ID141;2014-01-01 00:00:00+00:00;2017-09-06 15:25:00+00:00;3249;3900;43;135;1002;52.03916667;52.03777778;5.158611111;5.160833333;;;;
ID142;2014-01-01 00:00:00+00:00;2017-11-23 19:20:00+00:00;1245;1460;20;198;1054;52.1125;52.11111111;5.018333333;5.020555556;;;;
ID143;2014-01-02 09:37:00+00:00;2017-12-31 23:58:00+00:00;1709;2125;45;185;1031;52.02972222;52.02833333;5.153888889;5.156111111;;;;
ID144;2014-01-07 13:56:00+00:00;2015-10-09 16:00:00+00:00;460;480;20;200;1006;52.10722222;52.10583333;5.042222222;5.044444444;;;;
ID145;2014-01-08 14:00:00+00:00;2017-12-31 23:58:00+00:00;1850;2200;45;116;876;52.09861111;52.09722222;5.134166667;5.136388889;;;;
ID146;2014-01-08 16:27:00+00:00;2015-10-26 13:20:00+00:00;4271;4000;15;151;988;52.13055556;52.12916667;5.213888889;5.216111111;;;;
ID147;2014-08-01 00:01:00+00:00;2017-09-29 21:29:00+00:00;2750;3250;30;220;989;52.19027778;52.18888889;5.387777778;5.39;;;;
ID148;2014-01-16 11:00:00+00:00;2017-04-09 22:24:00+00:00;1902;2250;45;212;1002;52.00861111;52.00722222;5.426388889;5.428611111;;;;
ID149;2014-01-11 12:43:00+00:00;2017-12-31 23:58:00+00:00;3761;3000;38;195;1052;52.11611111;52.11472222;5.415;5.417222222;;;;
ID150;2014-01-22 15:00:00+00:00;2017-12-31 23:58:00+00:00;2251;2780;35;188;1036;52.09916667;52.09777778;5.082777778;5.085;;;;
ID151;2014-05-01 00:01:00+00:00;2017-12-31 23:58:00+00:00;969;980;33;185;1037;52.07361111;52.07222222;5.133055556;5.135277778;;;;
ID152;2014-01-12 10:22:00+00:00;2017-12-31 23:58:00+00:00;2641;3100;22;192;1002;52.02055556;52.01777778;5.559722222;5.564166667;;;;
ID153;2014-01-16 11:00:00+00:00;2017-12-31 23:58:00+00:00;1845;2200;45;208;974;52.00861111;52.00722222;5.426388889;5.428611111;;;;
ID154;2014-01-17 10:52:00+00:00;2017-10-19 15:39:00+00:00;3697;3510;35;172;1069;52.03972222;52.03833333;5.166944444;5.169166667;;;;
ID155;2014-01-17 13:46:00+00:00;2017-02-27 23:59:00+00:00;2716;3100;45;174;1034;52.19361111;52.19222222;5.416666667;5.418888889;;;;
ID156;2014-01-18 13:07:00+00:00;2015-11-14 23:59:00+00:00;1187;1290;60;197;955;52.15;52.14861111;5.379166667;5.381388889;;;;
ID157;2014-01-21 12:07:00+00:00;2017-09-15 08:28:00+00:00;4227;4380;23;185;1044;52.08694444;52.08555556;5.038888889;5.041111111;;;;
ID158;2014-01-21 13:56:00+00:00;2017-05-29 10:58:00+00:00;2313;2630;15;170;1020;52.07805556;52.07666667;4.856388889;4.858611111;;;;
ID159;2014-01-22 12:00:00+00:00;2017-09-18 08:56:00+00:00;436;500;34;158;1027;52.07833333;52.07694444;5.315555556;5.317777778;;;;
ID160;2014-01-22 10:00:00+00:00;2017-12-31 23:58:00+00:00;3163;2990;30;255;839;52.08916667;52.08777778;5.125555556;5.127777778;;;;
ID161;2014-01-22 20:00:00+00:00;2015-09-10 23:59:00+00:00;3746;4575;45;170;1030;52.09166667;52.09027778;5.254722222;5.256944444;;;;
ID162;2014-01-23 15:21:00+00:00;2017-10-25 11:34:00+00:00;2997;3300;55;100;795;52.08111111;52.07833333;5.408611111;5.413055556;;;;
ID163;2014-01-23 15:36:00+00:00;2017-12-31 23:58:00+00:00;2060;2170;35;190;1011;52.09638889;52.095;5.096944444;5.099166667;;;;
ID164;2014-01-24 09:24:00+00:00;2017-12-31 23:58:00+00:00;3155;2610;35;165;1072;52.01888889;52.0175;5.183055556;5.185277778;;;;
ID165;2014-01-24 12:40:00+00:00;2017-12-31 23:58:00+00:00;4184;4810;25;173;1009;52.00361111;52.00222222;5.549166667;5.551388889;;;;
ID166;2014-01-24 14:22:00+00:00;2017-11-05 19:20:00+00:00;3807;3900;2;180;899;52.20222222;52.20083333;4.854444444;4.856666667;;;;
ID167;2014-01-28 22:35:00+00:00;2017-12-02 23:59:00+00:00;2226;2500;45;154;1032;52.02138889;52.02;5.031388889;5.033611111;;;;
ID168;2014-01-29 11:26:00+00:00;2017-12-31 23:58:00+00:00;3000;3000;30;232;943;52.00083333;51.99944444;5.449722222;5.451944444;;;;
ID169;2014-02-01 12:50:00+00:00;2017-06-07 12:08:00+00:00;1885;2200;35;185;1040;52.16916667;52.16777778;5.399444444;5.401666667;;;;
ID170;2014-02-02 15:50:00+00:00;2017-12-31 23:58:00+00:00;1096;1000;45;275;679;52.08444444;52.08305556;5.1325;5.134722222;;;;
ID171;2014-02-07 13:28:00+00:00;2017-12-29 05:38:00+00:00;1499;1300;43;148;994;52.08444444;52.08305556;5.109722222;5.111944444;;;;
ID172;2014-02-07 15:58:00+00:00;2017-07-12 19:26:00+00:00;4919;5000;45;107;858;51.96694444;51.96416667;5.153333333;5.157777778;;;;
ID173;2016-03-25 10:59:00+00:00;2017-12-31 23:58:00+00:00;1388;1750;15;235;952;52.27055556;52.26777778;5.171666667;5.176111111;;;;
ID174;2014-01-01 00:00:00+00:00;2017-07-31 19:58:00+00:00;1765;2000;45;273;766;52.09305556;52.09166667;5.089444444;5.091666667;;;;
ID175;2014-01-01 00:00:00+00:00;2017-07-31 19:58:00+00:00;1134;1220;37;87;805;52.09305556;52.09166667;5.089444444;5.091666667;;;;
